Time,Australia,China,Brazil,India,Russian Federation,United States,United Kingdom
2000,21853.78167,959.3724836,3726.81142,442.0347789,1771.594116,36329.95607,28290.9725
2001,19681.66264,1053.108243,3142.277935,449.9111249,2100.352539,37133.62311,27886.79859
2002,20291.17855,1148.50829,2824.679625,468.8444283,2377.529541,37997.75966,30079.66004
2003,23705.90722,1288.643252,3056.624967,543.8437989,2975.125244,39490.27496,34479.39293
2004,30819.99349,1508.668098,3623.247996,624.1050944,4102.364746,41724.63163,40390.78583
2005,34461.70878,1753.417829,4773.248944,710.5093449,5323.462891,44123.40707,42131.6994
2013,68158.57974,7020.338485,12258.50317,1438.05748,15974.64453,53291.12769,43449.09172
2014,62513.41122,7636.116601,12071.15821,1559.864518,14095.64844,55123.84979,47447.58893
2015,56710.44572,8016.431435,8783.225984,1590.173918,9313.013672,56762.72945,45071.07432
2016,49875.56514,8094.363367,8680.768792,1714.280355,8704.898438,57866.74493,41146.07736
2017,53936.14025,8816.986905,9896.684783,1957.968841,10720.33301,59907.75426,40621.33448
2018,57207.87151,9905.342004,9121.083403,1974.377788,11287.36035,62823.30944,43306.3083
2019,54941.43418,10143.8382,8845.259118,2047.232704,11536.25098,65120.39466,42747.08046
2020,51720.37076,10408.66976,6794.489159,1910.421473,10169.08691,63530.63348,40318.55757
